lng,lat,v
42.331,-83.046,99.13999939
32.787,-96.799,98.55999756
42.266,-85.562,98.19000244
39.595,-104.962,99.12000275
40.884,-74.206,99.12000275
32.499,-86.413,99.13999939
40.536,-79.886,99.12000275
42.297,-71.227,0
40.284,-84.152,0
42.249,-84.388,0
33.817,-111.903,0
39.774,-86.11,99.13999939
39.425,-76.778,96.47000122
33.415,-111.909,99.13999939
42.65,-71.354,99.16999817
42.65,-71.354,99.16999817
33.791,-112.064,99.13999939
32.974,-96.742,99.13999939
33.448,-112.074,99.13999939
42.473,-83.222,99.13999939
32.787,-96.799,0
45.681,-122.728,98.08000183
37.939,-122.49,98.19000244
39.705,-105.081,98.5
44.914,-93.417,99.13999939
0,0,0
33.215,-97.133,73.88999939
47.606,-122.332,72.8199997
37.316,-121.937,74.91999817
0,0,75.01000214
41.85,-87.65,98.8199997
35.228,-80.845,97.73999786
39.716,-105.244,75.52999878
42.364,-71.083,69.91000366
38.627,-90.198,99.12000275
40.703,-74.013,71.23999786
43.072,-70.763,98.90000153
35.256,-80.821,97.08000183
43.006,-123.893,98.79000092
37.336,-121.882,98.5
39.864,-104.822,97.79000092
35.772,-78.639,99.01999664
37.341,-77.082,72.44000244
0,0,73.69999695
38.964,-77.468,99.01999664
36.633,-82.12,98.59999847
27.948,-82.458,98.59999847
40.352,-74.659,98.79000092
37.554,-77.46,72.33000183
40.804,-74.367,99.12000275
38.738,-77.185,75.08000183
33.215,-97.133,73.88999939
47.606,-122.332,72.8199997
37.316,-121.937,74.91999817
0,0,75.01000214
41.85,-87.65,98.8199997
35.228,-80.845,97.73999786
39.716,-105.244,75.52999878
42.364,-71.083,69.91000366
38.627,-90.198,99.12000275
40.703,-74.013,71.23999786
43.072,-70.763,98.90000153
35.256,-80.821,97.08000183
43.006,-123.893,98.79000092
37.336,-121.882,98.5
39.864,-104.822,97.79000092
35.772,-78.639,99.01999664
37.341,-77.082,72.44000244
0,0,73.69999695
38.964,-77.468,99.01999664
36.633,-82.12,98.59999847
27.948,-82.458,98.59999847
40.352,-74.659,98.79000092
37.554,-77.46,72.33000183
40.804,-74.367,99.12000275
38.738,-77.185,75.08000183
37.442,-77.044,75.01000214
0,0,70.93000031
38.934,-77.177,75.08000183
37.28,-80.087,71.5699997
37.475,-77.779,75.01000214
0,0,75.08000183
33.121,-97.183,75.01000214
38.901,-77.265,75.01999664
38.969,-77.341,75.01000214
42.172,-87.877,66.87000275
35.772,-78.639,98.30999756
40.714,-74.009,99.19999695
42.305,-83.172,72.83999634
27.948,-82.458,99.05999756
38.897,-77.05,99.11000061
33.619,-117.929,99.08999634
35.947,-84.022,99.01999664
40.714,-74.006,99.04000092
40.448,-79.991,75.04000092
42.033,-87.883,98.55000305
39.934,-74.891,98.55999756
42.347,-71.04,99.15000153
40.736,-74.172,74.52999878
37.339,-121.895,75.11000061
42.347,-71.04,74.34999847
32.88,-97,98.44000244
39.001,-77.036,99.05999756
41.906,-71.524,99.08999634
38.895,-77.036,99.05999756
40.745,-74.032,98.58000183
43.061,-89.399,99.08999634
39.357,-120.176,98.80999756
37.809,-122.299,0
40.714,-74.006,99.08999634
33.787,-84.59,99.05999756
38.895,-77.036,99.05000305
42.347,-71.04,98.97000122
41.878,-87.628,99
0,0,98.36000061
35.227,-80.843,99.05999756
40.094,-75.38,99.05999756
39.971,-82.864,99.05999756
42.331,-83.05,98.90000153
37.975,-87.478,98.84999847
40.133,-75.211,49.47
42.013,-87.997,95.88999939
40.188,-75.153,98.12999725
35.999,-78.898,98.58000183
39.792,-86.289,99.01999664
39.29,-76.612,99.08999634
32.88,-97,98.44000244
39.001,-77.036,99.05999756
41.906,-71.524,99.08999634
